Tweet,Level_A,Class,Level_C
साला बल्ला तो बिल्कुल माब लिंचिंग टाइप चलाता है मादरचोद,Offensive,UNT,NULL
गौरव साहब नारंगी वाले क्या दूसरे देश के हैं जो उस रंडी ने ऐसा लिखा है,Offensive,TIN,IND
इस रशीदी जेहादी का पायजामा पीला तो नही है आज आज हरामी को बड़ा भाईचारा नज़र आ रहा है,Offensive,TIN,OTH
तुम्हारा जिहाद तुम्हारी गांड में डाल कर मुंह से निकाल देंगे भेनचोद...,Offensive,TIN,OTH
जो भी मेरे ईश्वर के विरूद्ध आये काट दो सालों को ये आग बहुत आगे जाएगी सीधे रण होना चाहिए ईश्वर से कामना है ये जो राक्षस है उनका संघार करने के लिए इस्वर लोगो को शक्ति दे सुरश चव्हाणके @SureshChavhanke आप बहुत सही कर रहे है ये साले सुअर है इनको अहिँसा परमो धर्म समझ नही आता,Offensive,UNT,NULL
"मादरजात सनी ,तेरे पास टाइम नही है तो,'तेरी माँ क्यो चुदाई इधर ?",Offensive,TIN,IND
"तबरेज के लिए तो तेरे अमनपसंद कौम के अम्मि बेगम ने चूडियां तोडकर विध्वा विलाप किये थे! तुम लोगों के मजार पर हिन्दू मोहल्ले के कुत्ता भी पैशाब कर दे तब भी दंगा भड़काने वाले हरामी कौम है,मन्दिर कि मूर्ति तुडवाने मे तेरा ही साजिश है",Offensive,TIN,OTH
मुस्लिम मादरचोद हरामी कॉम है । पहले मारेगें फिर सोरी बेहेन चोद मुल्लो,Offensive,TIN,GRP
सरदार के नाम पर कलंक है ये भड़वा @sherryontopp,Offensive,TIN,IND
अरे चूतिया तेरा सड़े दिमाग के सोच के बाहर है मोदीजी की विचार तुम जैसे घटिया शैतान क्या जाने सिर्फ ट्राइबल महिला का बलात्कार करने सिवा खजलिवाल बीवी सोती है सिसुदिया के साथ और तेरेलिये बच्चे पैदा करती क्योंकि लुंड तेरा बोबीटीज़ करदिया गया है,Offensive,TIN,IND
मोदी की गांड में दम है तो संसद में ' बन्दे मातरम ' का अपमान करने वालों पर कारबाई करे ! देश का अपमान करने वाले औबैसी और उसके भाई पर कारबाई करके दिखाए।,Offensive,TIN,IND
मेरा लुंड गया गया बेहेन की चुत में,Offensive,UNT,NULL
तू भी तो भड़वा ही है भाया। तेरे तो २ करोड़ भी नहीं। भाड़ में घुसकर मर लंका पति @RadheramanRm,Offensive,TIN,IND
"मुबारक हो, जितने भी हिजरे हैं वो दिल्ली में ही रहते हैं चाहे वो सरकार हो,मीडिया हो चाहे वो दिल्ली के हिंदू हो और सिक्स पैक वाले नामर्द लड़के हो।और हिजरे की तो सरकार है ही,हरामी लोग दिल्ली को रेपिस्ट स्टेट और क्राइम का अड्डा बना दिया है, मेहरबानी है कि पीएम भी वहीं रहते हैं।",Offensive,TIN,OTH
"एसे #नीच और #घटिया लोगो को #चौराहे पर सबके सामने #फांसी टाँग दो,, ओर पुरे #देश मे #लाइव दिखाओ ।",Offensive,TIN,OTH
मैं बताऊँ इन @anubhavsinha जैसे राक्षसों ने अपनी इन्हीं करतूतों से पहले हिंदू-मुस्लिम में दरार पैदा की अब साले हिंदुओं के अंदर विभिन्न जातियों में फूट डाल रहे हैं। इनके ऊपर आतंकवाद का मुकदमा चलना चाहिये। #कमीने,Offensive,TIN,IND
"हमको कोई फर्क नहीं पड़ता भाई,...कोई मंदिर तोड़े या कोई रेप करे,..खाओ खुजाओ बत्ती बुझाओ!! हरामी हिन्दू!! #हिंदू_हराम @parmod__delhi @PanditRaamendra @sengar_krishan @ek__deshbhakt @BJP4Delhi",Offensive,TIN,GRP
चुप भोसडीके समाजसेवी पर गलत कमेंट करता है,Offensive,TIN,IND
कुछ सूअर बोल रहे हैंमंदिर की मूर्तियां ही तो तोड़ी है इंसान थोड़ी मारे हैंयह लिंचिंग थोड़ी है क्यों ना हम सारे हिंदू मिलकर के मस्जिदों को तोड़ना चालू करें फिर हम भी बोल देंगे दीवारेंतो तोड़ी है कोई इंसान थोड़ी मारे हैं कब तक सहेंगे हम लोग कब तक गाली खाएंगे।क्या होगा तुम दोगलों का,Offensive,TIN,OTH
अगर 370 और 35A हटी तो कश्मीरी मुसलमान कहां रहेंगे- उमर अब्दुल्ला । मैं बताता हूँ भोसड़ीके वो सब फिर अपनी औकात में रहेंगे ।।,Offensive,TIN,GRP
नंबर का मादरचोद है साला कुत्ता केजरीवाल,Offensive,TIN,IND
बहनचोद अनुभव तू तो भड़वा फिल्म में दिखाया है कि ब्राह्मण लोग गालियाँ देते है दलित को तो तू यहाँ क्या कर रहा है? भड़वागिरी?? साले कुत्ते की औलाद जिसे फिल्म अच्छी नही लगी उसे तू गाली देगा? वैसे भी फिल्म फ्लॉप होने से तुझे जबरदस्त सदमा लगा है चूतिये।,Offensive,TIN,IND
तुम भी चढ़ जा और नहीं दे तो अपना लौड़ा बढाकर खुद के गांड में डाल लें मेरे लिए हिंदुस्तान की हर नारी मां के बराबर ही है,Offensive,UNT,NULL
ये लोग c grade रंडी है इससे अच्छा तो कोठे पे जाना,Offensive,TIN,OTH
भाभी के बोबे दबाये ओर चुत मारि || मोटा लुन्ड छोटी चूत:,Offensive,TIN,IND
अबे भड़वा कितना कमीना है रे तू मोदी का पालतू कुत्ता है,Offensive,TIN,IND
देश का सबसे हरामि बुड्ढा है यह। अब इसका पेशा हड़ताल करना और जूस पीना है ऋ,Offensive,TIN,IND
यही तो दिक्कत है ऒर इस हरामी को इसकी औकाद बताने के लिए भी संघर्ष करना पड़ेगा,Offensive,TIN,IND
ये तो मादरचोद है ही आतंकवादी!,Offensive,TIN,GRP
अबे दल्ले कौन बोलता है कि तू पत्रकार है। भड़वा और दलाल है तू।।,Offensive,TIN,IND
"गधी की गां$ में जाये जायरा , रंडी रोने वाले रोती रहें, हमें क्या ?",Offensive,UNT,NULL
"हरामी में कौन सा कलर होता है? शांतिदूत भी बता देंगे, लेकिन तुमसे ना बोला जाएगा दल्ले।",Offensive,TIN,IND
"हरामजादे सुअर की औलाद, तू और तेरी पूरी कौम घटिया है। अगली बार किसी हिंदू को काफिर बोला तो जहां से आया है वहीं वापस भेज दिए जाओगे।",Offensive,TIN,IND
बस तू एक बार बता दे रंडी कि कब आ रही है अश्मित का लुंड मुह में लेने। शायद अश्मित ने तूझे चोद कर छोड़ दिया है इसीलिए इतनी बिलबिला रही है। तेरी खिसियाट समझ आ रही है। कोई बात नही तू फिर आजा। अश्मित फिर लेलेगा तू चिंता मत कर। बहुत बड़ा दिल है अपने भाई का। पूरी पूरी रात पलेगा,Offensive,TIN,IND
"मुंह में ले लिए मादरचोद, भग इसकी माँ का चोदू",Offensive,TIN,IND
शाकिब तेरी बेगम की कसम आउट हो मादऱचौद,Offensive,TIN,IND
पूरे 10 मिनट पका दिया फोन पे भेनचोद ........,Offensive,UNT,NULL
"क्या खिलाया था? खुद तो कुत्ता खा रहे हो, दूसरो को क्या गान्ड खिलायोगे।",Offensive,TIN,IND
भेनचोद ये क्या चूतियापा हो रहा है?,Offensive,UNT,NULL
भोसडिके तेरी गांड में तेरा धर्म घुसेद दूँगा... भांड की औलाद कुत्ते के बीज,Offensive,TIN,IND
गांड का चबूतरा ढीला कर दिया है इनका,Offensive,TIN,OTH
"मादरचोद भेन के लौड़े @ICC , गाँड में डाल लें लोडू अंपायर",Offensive,TIN,GRP
(फुल हिन्दी देसी चुदाई ऑडियो) बिस्तर पर चाचा बगल मे लेटे रहे और चाची ने भतीजे से चुदाई कराई सिसकारी से चाचा की आंख खुल गई फिर देखो क्या हुआ,Offensive,UNT,NULL
भाभी की चूदाई कर निकाला पडोसी,Offensive,UNT,NULL
तु तो अपनी गटर वाली मुंह बंद ही रख सुअर,Offensive,TIN,IND
"ये कुत्ता नहीं जायेगा वहाँ , मुल्ला भग जायेगा इसका हरामी का ,जय श्री राम",Offensive,TIN,IND
सेक्सी भाभी की चुदाई - Desi Bhabhi Sex - HotShortFilms,Offensive,UNT,NULL
मुर्तजा के गाँड में झाड़ दिया कचरा,Offensive,UNT,NULL
गौतम गंभीर मादरचोद अपनी औकात मत भूल जिस जगह से निकला है उसी का सम्मान भूल गया क्या बे भडुवे भेनचोद,Offensive,TIN,IND
@RahulGandhi : आता माजी सतकली.तेरी माँ का भोसड़ा भेनचोद भड़वे हिजड़े: १. कब से एक ही टेप बजाता है नोटबाँधी-रफाल-दस उधोग जबरजस्ती गले पढ़ना क्या ये सब देख के हमें वोट करना है की हिजड़ो की पार्टी के सरदार तेरा पांच साल का विज़न भी बताये गा.नहीं तो मादरचोद वोट,Offensive,TIN,IND
दिल्ली में सुअर मुल्ले आतंकवादियों के द्वारा मंदिर तोड़ दिया जाता हे।और एक भी AAP के कुत्ते मंत्रीयो का बयान नही आता।,Offensive,TIN,OTH
"इनकी विचारधारा को ऐसे समझें की आप सुअर को स्वतंत्र छोड़ दें, तो वो सारा स्वर्ग छोड़कर 'गू' पर मुंह मारेगी! वामियों की पहचान पोलो की दो चार हजार की शर्ट, लीवाइस की जींस एकदम सस्ती चार छः हजार वाली और सस्ती सी एडीडास के स्लीपर! इतने गरीब होते हैं ये...!",Offensive,UNT,NULL
तू अपपी बहन ही c सुंग के आया है या माँ की कटमुल्ले टुकड़े टुकड़े हो जायेगा धंधे वाली के लुंड और धंधेवाली के भाई के पिल्लै,Offensive,TIN,IND
हमे पता है कि तू पाकिस्तान के विक्की डोनर के स्पर्म मे से निकला एक हरामी स्पर्म है जो यहा पे आके चूल मचा राहा है,Offensive,TIN,IND
"ये सब भी दिखाओ पत्तलकारों @ZeeNews @abpnewstv @aajtak ये गुंडागर्दी नहीं फिर और क्या है, अगर यही मोहम्मद शहाबुद्दीन समर्थक होते तो तुमहारा रंडी अलाप सुरू हो गया होता",Offensive,TIN,GRP
ओ तीन तलाक पर इन्साफ दिलाने वाली बुढ़ी डायन @RubikaLiyaquat जाग रही हो या सो गई... दिन रात तीन तलाक पर भौंकने वाली संघी आंटी क्या अब तबरेज की बीवी को भी इंसाफ दिलायेगी या भाजपा की गोद मैं जाके बेठ जाएगी,Offensive,TIN,IND
मोदी बाबा बोलते है कि सोनिया गांधी कांग्रेस की विधवा मा है। फिर तो मोदी बाबा भाजपा के नामर्द बाप है।,Offensive,TIN,IND
आप से हाथ जोड़ कर विनती है ईन #स्क्रीन_शॉट को. सड़क छाप बुढ़ी आंटी #रूह_बिका से ना जोड़े उसकी नहीं है ये चैट photos और हा किसी को बताना भी नहीं और RT भी नहीं करना आप भी ना कुछ भी सोच लेते है अबे ओए मारवाड़ी कहा मर गया #आम लेके आ जल्दी भूख लगी है काट के खाऊ या छिल k,Offensive,UNT,NULL
"दिल्ली के 7 MP इनके हैं, दिल्ली पुलिस इनकी है। केंद्र में सरकार इनकी बैठी है। अब अगर वहाँ सुअर 'अल्लाह हू अकबर' बोलकर एक मंदिर में तोड़फोड़ करते है। कहीं मीडिया में कोई खबर नही। ये कौन सा सबका साथ, सबका विकास है ??",Offensive,TIN,OTH
दिल्ली वाले केस में दोनों धर्म के लोगो ने मतलब हिन्दू मुस्लिम्स ने बैठ कर बात से मामले को सुलझा लिया और अमन शांति कायम कर दी दिल्ली में ।लेकिन इस संघी सुअर @SureshChavhanke को ये बात हजम नही हो रही ।कि दंगा क्यो नही हुआ तेरे जैसे सुअर को इस देश मे रहने का अधिकार नही सुरेश,Offensive,TIN,IND
समझ नहीं आता ये #संघी आखिर साबित क्या करना चाहते हैं ये #कमीने इतने गिर क्यो जाते हैं मुसलमानो को झूठा बदनाम करने के लिए अपने धर्म को अच्छा साबित करना है तो अपने कर्मो से करो लड़को को बुर्का पहना कर कावड़ यात्रा मे भेज कर क्या हासिल हुआ नारंगी खटमलों,Offensive,UNT,NULL
ममता बनर्जी पे भद्दी मीम बनाई प्रियंका को जब बंगाल पुलिस ने जेल में डाल दिया था तो लकड़बग्गा सहित पूरी दल्ली मीडिया हंगामा कर रही थी। और ममता बनर्जी पे और भद्दे मीम बनाये जाने लगे? और आज एक वीडियो शेयर करने पे पत्रकार को जेल हो गई। सभी पत्रकारों को मुंह मे बवासीर हो गया है।,Offensive,UNT,NULL
किंजल की चुदाई बोहत ज़बरदस्त चीकहिं मारती है 97 sec,Offensive,UNT,NULL
तू पाकिस्तान के बस तलवे chat.. हरामी नस्ल की पाकिस्तानी कुतिया है तू... कुत्ते भी बफादार होते है पर तू सुअर की जाती की है...,Offensive,TIN,IND
इंडियन लड़की की चुदाई हिंदी मे 11 720p,Offensive,UNT,NULL
एक सूअर @LambaAlka @ArvindKejriwal दूसरों को दिल्ली से दूर ले जा रहा है,Offensive,TIN,IND
मणिशंकर इय्यरने बिल्कुल सही कहा था ये बहुत ही घटिया #नीच इंसान है। #नीच_मोदी,Offensive,TIN,IND
सहन की भी एक सीमा होती है.बहुत हुई तुम जेसओ को इज्जत.मादरचोद भेनचोद रंडी की औलाद हलाला की पैदाइश पहले तमीज से बात करना शिख किससे बात कररहे.तुम जैसे भाड़े के ट्टुओं के मुँह लगने की आदत नही.सम्मान से कह सकता हु की सवर्ण समाज के लिए कुछ कररहा तुम्हारी तरह बिकाऊ नहीं,Offensive,TIN,OTH
#साध्वी_लिखकर #प्रज्ञा_ठाकुर #संत_समाज को #बदनाम कर रही है #संतों को विरोध करना चाहिए। #संत_समाज हेमन्त करकरे.. गोडसे के बोल के लिए सच्चे देशप्रेमियों को प्रज्ञा के विरोध में सामने आना चाहिये #नफरतबाज_प्रज्ञा,Offensive,TIN,IND
भेनचोद कुछ हिंदुस्थान की मिडीया भी कॉंग्रेस की दलाल बन चुकी है भेन चोद ईन मिडीया वाले क्या मंदबुद्धी है याअंधे है जो मोदिजी और.विपक्षी यो मे अंतर नही देख सकती ।मोदीजी के बारेमे कुछ भी उटपटांग सवाले पुछती है |,Offensive,TIN,OTH
किसी राष्ट्र के प्रधानमंत्री के लिए अपशब्दों गलियों का प्रयोग करते हुए नीचता और दोगलेपन की सारी हदें पार करके भी ये लोग कहते हैं कि यहाँ नफ़रत उभर तो सकती है लेकिन जीत नहीं सकती । @RahulGandhi @priyankagandhi @pankhuripathak @ #नीच #खून_का_सौदागर,Offensive,TIN,GRP
और ये काम कौन करेगा? आप लोग रिपोर्टिंग तो करते नहीं राजनीति करते हो अब उनको पार्टी से बाहर निकालो आपके गाँड फादर का निर्देश मिल गया है कब निकालेंगे उनको पार्टी से? @manakgupta,Offensive,TIN,IND
@KaDevender भडवा है साला खलिस्तानी और पाकिस्तानी एजेंट है और ये पाकिस्तानी स्लीपर सेल की मेंबर है यहाँ चुप के बैठी है किसी दिन बम बांध के कूद जाएगी और हजारो बेगुनाहो की जान ले लेगी ..निर्दोष हिन्दू के मारने पे ताली तो अभी बजाती है ..आप का चुसेन्द्र,Offensive,TIN,IND
"बॉसडीके, मधरचूत, तेरी माँ की, बहिन की छूट, रंडी का ौलत, खानदानी रंडी का ौलत, हीरामंडी का पिल्ला, भादवा लौड़ा लुंड कमीना, छूट के ढक्कन, छिपकली के गांड के पसीने",Offensive,TIN,IND
ये बल्ला देख रहे हो थैले हाथ में लेने के बाद स्ट्राइक रेट 140 की और मैच फिनिश कर देना चाहिए गांड पे हाथ धरे नही बैठ जाया जाता,Offensive,UNT,NULL
ये #हरामी वही है जिसने #तबरेज़ अंसारी को #जीते जी #मार डाला इसको इतना #फैलाओ की ये #हरामी का बच्चा पकड़ा जाए और इस पर लानत भेजो ताकि ये जल्दी से #जल्दी मर जाए #कुत्ते की मौत,Offensive,TIN,IND
"साथियों, आपके कचरा ने देश नही झुकने दिया, कचरा है तो मुमकिन है , कचरा की फिरकी , बंगलदेश की गाँड चिरकी",Offensive,UNT,NULL
सही कहा भैया जब गांड लगी फटने तो खैरात लगी बटने,Offensive,UNT,NULL
सोचिए एक #इंसान आम आदमी से #मुख्यमंत्री #मुख्यमंत्री से #प्रधानमंत्री #प्रधानमंत्री से #विश्वस्तरीय नेता बन चुका है और कुछ लोग हैं जो विपक्ष में #कुत्ते की तरह पहले भी #भोंकते थे अब भी #कुत्तों का #झुंड बनाकर भोंक रहे हैं।,Offensive,TIN,OTH
भारत की हार की आड़ में आज कुछ देशद्रोही नारंगी जर्सी पर रंडी विलाप करेगे #पाकिस्तान_गेट_आउट #PKMKB @Sehrish2018,Offensive,TIN,OTH
लड़की सोते हुए अपने बॉयफ्रेंड का लिया लुंड,Offensive,UNT,NULL
"सांती के बात करते हो, सिधे गोली मारना चाहिये मंदिर तोड़ने वाले हरामी को",Offensive,TIN,OTH
"रे माधरचोद @manakgupta क्या तेरी Gand में इतना दम नहीं की तू भड़वे अपने पापों को टेग करके ट्वीट करे, राहुल को तो बड़ी जल्दी कर दिया। हिम्मत है तो BJP वालों को टेग कर तेरे को छट्टि का दूध याद दिला देंगे। दलाल, भडवा ओर चाटूकार भाग मानक भाग !! https://twitter.com/manakgupta/status/1145573600608391168 …",Offensive,TIN,IND
भेनचोद ये गुलाबी पैंट कौन पहनता है बे,Offensive,UNT,NULL
"एसपी सांसद एसटी हसन ने किया जायरा वसीम का समर्थन, फिल्म अभिनेत्रियों की तुलना तवायफ से कर डाली via @NavbharatTimes: http://app.nbt.in  #ZahiraWasim के चक्कर मे इस कटुऐ ने ⁦@abuasimazmi⁩ आज़मी की बहु को रंडी बना दिया",Offensive,UNT,NULL
फिर भड़वा सलमान और शाहरुख माँ चुदा रहा है क्या Bollywood में,Offensive,TIN,OTH
What is the meaning of 'भोसड़ीवाला ' and 'भोसड़ीके' and how do I say it in English? by Mohan Kumar,Offensive,UNT,NULL
हरामजादा केजरीवाल अब कहा मार गया सूअर को अब कुछ क्यों नहीं दिखाई दे रहा इस madarchod kejariwal Ko Desh ke bahar karo।,Offensive,TIN,IND
"रे बावली पूंछ! @ZairaWasimmm जैसी कितनी आयीं और चली गई। हमारे जाने वो फिल्म करे न करे हमें क्या? पर उस वो रंडी की औलाद भारत माता के सौहार्दपूर्ण माहौल को इस्लाम के नाम पर बर्बाद करना चाहती है क्यों? तुझे कोई पूंछता नहीं है, तो तूभी बकचोदी कर रहा है ।",Offensive,TIN,IND
"जब #प्रज्ञा_ठाकुर जैसी... सांसद बन सकती है, तो राम रहीम पे चर्चा करना व्यर्थ है। सरकार है इक्छा उसकी। हमारे हिसाब से राम रहीम को ठंडा बेडी लगा कर त्रित्तिया खंड में डाल देंना चाहिए।",Offensive,TIN,IND
Teacher : ' शीला कपडे पहन चुकी थी ' ईस वाक्य को अपनी भाषा में बोलो। Student -: भेनचोद लेट हो गए !!!!,Offensive,UNT,NULL
#PMModi ने 25 जून को संसद में कहा कि #WaterCrisis दूर करना उनकी प्राथमिकता है। लेकिन सच ये है कि प्राथमिकता की बात करने वाले मोदी जी ने पांच साल से देश में #BJP की सरकार होने पर भी जल संकट पर दो साल पहले दी गई #NitiAyog की रिपोर्ट पर कोई चर्चा नहीं कराई।,Offensive,TIN,IND
हनीप्रीत बिना पापा #RamRahim को खेतो में रोटी पानी देने कौन जाएगा ? उसे भी साथ मे पैरोल देना खट्टर साहब...,Offensive,UNT,NULL
केजरीवाल सरकार झारखंड में जिस चोर को पब्लिक ने मार डाला उसके परिवार को पांच लाख रुपये और चोर की बीबी को सरकारी नौकरी दे रही हैं क्योंकि वो एक मुसलमान हैं ध्रुव त्यागी और अंकित सक्सेना की हत्या दिल्ली में हुई पर उन्हें एक रुपया नहीं दिया क्योंकि वो हिन्दू हैं,Offensive,TIN,IND
देख भड़वा कलूटे इसपे तेरा मूत वाला मुह नही खुलेगा क्योकि तेरे मुह में अब बवासीर हो गया होगा,Offensive,TIN,IND
"इस #बकलंड #बखोर #भड़वे #हरामखोर #देशद्रोही #कुत्ते घुंघरू सेठ के साथ जब पूरा देश है तो चुनाव 543 सीट पे क्यों नहीं लड़ा,",Offensive,TIN,IND
तो बाबर से गांड मरा हमें क्या,Offensive,TIN,IND
पर तू एक ऐसी रंडी वैश्या है जो जिस देश मे खाती कमाती और रहती है उसी देश की हार पर हिजड़ों की तरह नाज रही है आक..थू है तुझ पर चल हट रंडी कहीं की...,Offensive,TIN,IND
बाबू चोदो ना मुझे जोर जोर से चोदो कुतिया बना कर बड़े चूच्ची वाली भाभी लण्ड पर बैठ कर चुदाई करते मिक्स चुदाई,Offensive,UNT,NULL
"ये भड़वा वोट और नोट के लिए किसी के भी चुत्तड़ चाट सकता है, @anubhavsinha तो शायद धोता भी होगा। हरियाणा में ये जब जब आता है इसके रैपटे पढ़ते हैं।",Offensive,TIN,IND
"मैं #गिरिराज_सिंह #कन्हैया_कुमार से पूछना चाहता हूं, आजादी में कोई कमी तो नहीं रही भोस# के... @Being_Humor @desimojito @indiantweeter @rishibagree",Offensive,TIN,IND
मोहम्मद के राह पर एक और सुअर की औलाद।,Offensive,TIN,IND
हमलोग भाई भाई का नारा देते रहेगे और वो सुअर हरामखोर हमे बर्बाद करता रहेगा!,Offensive,TIN,IND
यही अगर किसी मस्जिद में हुआ होता तो रंडी रोना स्टार्ट कर देते तू भड़वे लोग अभी तो शांति बनाए के लिए ही बोलोगे,Offensive,TIN,OTH
फिर कयो अपनी ऐसी तैसी करवा रहा है फालतू दो पैसे की औकात नही है भडवा,Offensive,TIN,IND
अबे भोसडीवाले जिसकी रंडी की तुम लोग दलाली खाते हो उससे कभी पूछो की पैसा कहाँ से उसके पास आया है।,Offensive,TIN,IND
भग भोसड़ी के मादरचोद मेन ऑफ द सीरीज घर पहुंचा देंगे,Offensive,TIN,IND
"पूजनीय' लिख भोसडीके 'पूजनीय' महान , चक्रवर्ती ऐसे शब्दों का प्रयोग कर।",Offensive,TIN,IND
अबे भडवे बेटीचौद हरामी जरा चावडी बाजार की भी बात कर या फिर तेरी माँ पर कोई मुल्ला चढा था क्या जो चुप है,Offensive,TIN,IND
कुरान को बदनाम कर रहा है ये हरामी,Offensive,TIN,IND
"भटके हुये बच्चों की गांड मे डन्डा करना, आैर हरामखोरों को सरेआम गोली मार देना।",Offensive,UNT,NULL
एक नंबर का भड़वा आदमी है!,Offensive,TIN,OTH
भोसडीके अगली बार CD बना तो लाइटिंग अच्छी लगाना !,Offensive,TIN,OTH
आबे तू तो बात मत कर सेना के बारे मे बलात्कारी कहा था ना भोसडीके..और सेना की सन्मान की बात करता है,Offensive,TIN,OTH
ये भड़वा साला आर्टिकल 15 देखने मे व्यस्त है,Offensive,TIN,IND
मुसलमान अल्लाह के सिवाय किसी से नहीं डरते. फिर कश्मीरी मुस्लिम मुह पर कपड़े बांधकर हिजडो की तरह क्यों सामने आते हैं?,Offensive,TIN,GRP
"हिजड़ो से एक मंदिर नही बचता है और सपना देख रहा है राम मंदिर का @ArvindKejriwal क्यो भड़वा सही कहा ना, तुम्हारे अब्बुजान कितना डरे हुए है बेचारे हिजरो को मेरठ से भगा रहा है और दिल्ली मे मंदिर के मूर्तियाँ तोड़ा जा रहा है ये सब कही RSS और भगवे वाले तो नही कर रहे है",Offensive,TIN,IND
"लम्पट झोलाछाप , तेरे जैसा 20-25 दिन राम लीला मैदान में गुजरकर और मीडिया का लुंड चाटकर उनलोग नेता नहीं बने ! सारी जिंदगी खपाई ! तू मादरचोद देहाती गवर जाहिल हरामी , उनपढ ,ठरकी माथरजात बैठ चुपचाप",Offensive,TIN,IND
साली चुतीया औरंत 'तेरी माँ पर और तुझं पर मुल्ले चड चुके है क्या जो नाम लेणे से दरती है रंडी कही की,Offensive,TIN,IND
गांजा कहाँ मिल रहा है आज कल @RomanceScammer इस सुअर ने अपनी केंसर वाली अफवाह फैला कर गां#@$ फाड़ दी थी तब से सब एब बन्द है अपना,Offensive,UNT,NULL
दो कौड़ी के दलाल दलाली करनी है शौक से कर हुकूमत का लेकिन अगर जाट मजहब के ऊपर कुछ बोलेगा तो म****** इतना जूता पड़ेगा तुम्हारी मां का च** कि तुम्हारा बाप मोदी भी नहीं बचा पाएगा बड़वा हरामि तुम्हारी मां का च**,Offensive,TIN,IND
वाह भेनचोद क्या डबिंग है,Offensive,UNT,NULL
अच्छा। जब किसी मुस्लिम से जय श्री राम बुलवा दिया जाता है तब यह रंडी रोना क्यो शुरू करते हो की हिंदू एसा कर रहा है पर मंदिर को मुल्लो ने तोड़ा तो वो मुस्लिम ही नहीं है सही है..हद हो गई चुसने कि अब तो.. अरे शर्म करो पाखंडी पप्पू तो सरकार मे आने से रहा अब। जितना मर्जी कोशिश कर ले।,Offensive,TIN,OTH
तेरी सीता मईया को रावण महीनो तक चोदा तब तेरे गाॅडु राम को पता नही चला। 4000 साल से शंकर का लन्ड चूस रहे फिर कटूओ की लन्ड चाहिए तेरी सीता रंडी को। पार्वती के चुत पे लन्ड के सहारे पानी गिरा रहे हो। अंग्रेजो के दलाल देश का गद्दार सुवर गोडसे और सुवर सावरकर के नाजायज औलाद माधरचोद,Offensive,UNT,NULL
